Name,Age,Nationality,Overall,Club,Value,Preferred Positions
R. Ache,18,Germany,66,Sparta Rotterdam,€1.1M,ST
S. Schuppan,30,Germany,66,Würzburger FV,€475K,LB
Y. Yeboah,20,Ghana,66,Real Oviedo,€1.1M,RM
Y. Al Salem,32,Saudi Arabia,66,Ettifaq FC,€525K,ST
S. Al Sawadi,24,Saudi Arabia,66,Al Raed,€875K,RM
Lee Ki Je,25,Korea Republic,66,Ulsan Hyundai Horang-i,€650K,LB
Wescley,25,Brazil,66,Vissel Kobe,€800K,CAM
D. Zabala,25,Uruguay,66,Unión de Santa Fe,€775K,CM
S. Ruprecht,30,Germany,66,SV Wehen Wiesbaden,€475K,CB
E. Olivera,27,Argentina,66,Colon de Santa Fe,€650K,CB
P. Brożek,34,Poland,66,Wisła Kraków,€350K,ST
P. Karasev,24,Russia,66,FC SKA-Energiya Khabarovsk,€725K,CDM
A. Taylor,26,Wales,66,Northampton Town,€625K,CB
A. Wiegel,25,Germany,66,MSV Duisburg,€775K,ST
P. Weihrauch,23,Germany,66,DSC Arminia Bielefeld,€850K,RM
A. Teikeu,27,Cameroon,66,FC Sochaux-Montbéliard,€625K,CB
W. Díaz,39,Colombia,66,Jaguares Fútbol Club,€40K,CB
M. Sprocati,23,Italy,66,Salernitana,€875K,RW
Yann,22,Brazil,66,Aalborg BK,€900K,RM
Adryan Limeira,25,Brazil,66,Associação Atlética Ponte Preta,€725K,CF
T. Pochettino,21,Argentina,66,Defensa y Justicia,€1.1M,RM
A. Wordsworth,28,England,66,Southend United,€650K,CAM
A. Kurdy,25,Saudi Arabia,66,Al Ahli,€675K,LB
A. Arregui,24,Argentina,66,Temperley,€675K,CM
L. Perdomo,20,Argentina,66,Gimnasia y Esgrima La Plata,€925K,CDM
M. Röser,26,Germany,66,Hallescher FC,€700K,LM
F. Ulvestad,25,Norway,66,Burnley,€800K,RM
R. Smallwood,26,England,66,Blackburn Rovers,€675K,CM
Ricardo Vaz,22,Portugal,66,CF Reus Deportiu,€1.1M,LM
M. Cash,19,England,66,Nottingham Forest,€1.4M,CAM
K. Anderson,22,England,66,Swindon Town,€1M,ST
K. Freeman,25,Wales,66,Sheffield United,€675K,RB
R. Eckardt,27,Germany,66,FC Carl Zeiss Jena,€675K,CM
F. Kippe,39,Norway,66,Lillestrøm SK,€40K,CB
L. Taylor,27,Montserrat,66,AFC Wimbledon,€750K,ST
D. Martínez,27,Argentina,66,Unión de Santa Fe,€600K,RB
B. Hušidić,30,Bosnia Herzegovina,66,LA Galaxy,€600K,LM
Luis Fernández,23,Spain,66,RC Deportivo de La Coruña,€875K,ST
G. Shelia,28,Russia,66,FC Ufa,€525K,GK
M. Faško,22,Slovakia,66,Grasshopper Club Zürich,€975K,CDM
C. Calvo,24,Mexico,66,Deportivo Toluca,€675K,CB
O. Garvan,29,Republic of Ireland,66,St. Patrick's Athletic,€625K,CDM
D. McCrory,27,Republic of Ireland,66,Portsmouth,€525K,CB
Yelko Pino,20,Spain,66,C.D. Leonesa S.A.D.,€950K,LM
B. Innocent,21,Nigeria,66,Malmö FF,€925K,CM
Jano,30,Spain,66,SV Mattersburg,€475K,CDM
J. Amano,25,Japan,66,Yokohama F. Marinos,€775K,RW
K. Kunz,25,Germany,66,Chemnitzer FC,€575K,GK
E. Larsson,25,Sweden,66,GIF Sundsvall,€650K,RWB
J. Castelletto,22,Cameroon,66,Stade Brestois 29,€750K,CB
Iván Garrido,27,Spain,66,C.D. Leonesa S.A.D.,€650K,CB
J. Rafferty,23,Republic of Ireland,66,Rochdale,€725K,CDM
D. Cardoso,28,South Africa,66,Kaizer Chiefs,€575K,LB
Danilo Sacrio,25,Brazil,66,Clube Atlético Paranaense,€725K,ST
T. Szántó,21,Hungary,66,SK Rapid Wien,€1M,CDM
N. Ravaglia,28,Italy,66,Cremonese,€525K,GK
J. Ardaiz,18,Uruguay,66,Royal Antwerp FC,€1.3M,ST
I. Rivas,29,Colombia,66,Tigres FC,€500K,RM
J. Hartock,30,France,66,US Quevilly-Rouen,€425K,GK
Nildo Reisão,33,Brazil,66,Fluminense Football Club,€260K,CDM
E. Jónsson,28,Iceland,66,SønderjyskE,€525K,CM
H. Shala,25,Kosovo,66,Lyngby BK,€800K,CM
V. Zapata,31,Colombia,66,Jaguares Fútbol Club,€575K,RM
H. Obando,24,Colombia,66,Atlético Bucaramanga,€750K,RB
C. Stanković,24,Austria,66,FC Red Bull Salzburg,€625K,GK
H. Pereira,30,Uruguay,66,Club Atlético Tigre,€475K,CDM
Emílio Trevões,29,Brazil,66,Atlético Clube Goianiense,€650K,LW
B. Finne,22,Norway,66,Vålerenga Fotball,€1M,ST
B. Emir,29,Turkey,66,Alanyaspor,€475K,LB
P. Madden,27,Republic of Ireland,66,Scunthorpe United,€675K,ST
L. Evans,22,Wales,66,Wigan Athletic,€850K,CDM
T. McMahon,31,England,66,Bradford City,€425K,RM
B. Prokopič,29,Austria,66,SCR Altach,€625K,CDM
A. Pomini,36,Italy,66,Palermo,€90K,GK
H. Bernardello,30,Argentina,66,Montreal Impact,€475K,CM
N. Mezquida,25,Uruguay,66,Vancouver Whitecaps FC,€775K,RM
Nico Hidalgo,25,Spain,66,Cádiz C.F.,€800K,RM
B. Chardonnet,22,France,66,Stade Brestois 29,€975K,RB
M. Njie,21,Norway,66,Stabæk Fotball,€950K,RM
S. Raggett,23,England,66,Lincoln City,€975K,CB
A. Briseño,23,Mexico,66,CD Feirense,€725K,LB
O. Myny,22,Belgium,66,Waasland-Beveren,€875K,RM
D. Hediger,30,Switzerland,66,FC Thun,€600K,CDM
S. Wannenwetsch,25,Germany,66,Hansa Rostock,€775K,CM
R. Oxford,18,England,66,Borussia Mönchengladbach,€1.2M,CDM
M. Gspurning,36,Austria,66,1. FC Union Berlin,€90K,GK
Renan Tojeiras,33,Brazil,66,São Paulo Futebol Clube,€260K,CAM
A. Katranis,19,Greece,66,AS Saint-Étienne,€975K,LB
C. Booth,26,Scotland,66,Partick Thistle F.C.,€625K,LB
G. Wojtkowiak,33,Poland,66,Lechia Gdańsk,€250K,CB
S. Luperto,20,Italy,66,Empoli,€1.3M,CB
B. Angulo,23,Colombia,66,CD America de Cali,€800K,LM
K. van Veen,26,Netherlands,66,Scunthorpe United,€800K,ST
E. Alexander,29,United States,66,Houston Dynamo,€500K,CM
E. Tié Bi,26,Ivory Coast,66,US Quevilly-Rouen,€675K,CDM
P. Segbefia,26,Togo,66,Göztepe,€750K,CDM
D. Mast,25,Germany,66,Würzburger FV,€775K,LM
L. Abergel,24,France,66,AS Nancy Lorraine,€775K,RB
F. Canales,30,Mexico,66,Lobos de la BUAP,€425K,GK
S. Scappini,29,Italy,66,Cremonese,€650K,ST
S. Nutz,25,Austria,66,SCR Altach,€800K,CDM
R. Coly,21,Senegal,66,OGC Nice,€900K,LM
Dilson Calegari,33,Brazil,66,Clube Atlético Paranaense,€400K,LM
G. Paracki,30,Croatia,66,Wellington Phoenix,€475K,CM
M. Pajač,24,Croatia,66,Perugia,€900K,CAM
V. Skjerve,29,Norway,66,FK Haugesund,€500K,RB
T. Brochmann,27,Denmark,66,Stabæk Fotball,€675K,LM
A. Leitner,23,Austria,66,FC Admira Wacker Mödling,€625K,GK
Lee Seok Hyun,27,Korea Republic,66,FC Seoul,€725K,CAM
P. Zulechner,27,Austria,66,SK Sturm Graz,€675K,ST
A. Solosin,29,Russia,66,FC Anzhi Makhachkala,€425K,GK
M. Niemeyer,21,Germany,66,1. FC Magdeburg,€950K,LW
O. N'Diaye,25,Senegal,66,Gençlerbirliği SK,€700K,CB
C. Burgess,25,England,66,Portsmouth,€725K,CB
A. Navarro,32,Uruguay,66,Puebla,€525K,ST
G. Maroni,18,Argentina,66,Boca Juniors,€1.3M,CAM
Bruno Wilson,20,Portugal,66,SC Braga,€825K,CB
João Vasco,22,Portugal,66,Tondela,€925K,ST
J. Jervis,25,England,66,Plymouth Argyle,€775K,ST
S. O'Neill,23,United States,66,Excelsior,€775K,RB
Bernabé,24,Spain,66,Gimnàstic de Tarragona,€700K,GK
A. van Peppen,32,Netherlands,66,Roda JC Kerkrade,€350K,LB
A. Luna,25,Uruguay,66,Tiburones Rojos de Veracruz,€775K,LM
P. van Moorsel,27,Netherlands,66,Sparta Rotterdam,€750K,CM
F. Holthaus,22,Germany,66,Hansa Rostock,€800K,LB
G. Paquiez,23,France,66,Nîmes Olympique,€850K,RB
J. Legear,30,Belgium,66,Sint-Truidense VV,€600K,CAM
M. Manotas,21,Colombia,66,Houston Dynamo,€900K,LW
S. Hakšabanovič,18,Montenegro,66,West Ham United,€1.3M,CAM
Gildo,22,Mozambique,66,CS Marítimo,€1M,RW
A. El Khayati,28,Netherlands,66,ADO Den Haag,€650K,CM
M. Sowislo,34,Germany,66,1. FC Magdeburg,€325K,CAM
B. Grant,27,England,66,Fleetwood Town,€675K,ST
M. Sollbauer,27,Austria,66,Wolfsberger AC,€625K,CB
Lee Yong,30,Korea Republic,66,Jeonbuk Hyundai Motors,€475K,RB
Tomás Podstawski,22,Portugal,66,Vitória Setúbal,€900K,CB
Y. Mena,25,Colombia,66,Alianza Petrolera,€825K,ST
F. Acuña,29,Mexico,66,Puebla,€625K,CAM
R. Dejmek,29,Czech Republic,66,Korona Kielce,€500K,CB
M. Tévez,20,Argentina,66,Newell's Old Boys,€1.1M,RW
T. Kayhan,27,Austria,66,Göztepe,€525K,LB
A. Al Kassar,26,Saudi Arabia,66,Ettifaq FC,€575K,GK
Marteli,31,Bolivia,66,,€0,CB
A. Figueroa,29,Colombia,66,CD Los Millionarios Bogota,€500K,CB
J. Gómez,21,Colombia,66,CPD Junior Barranquilla,€1M,CB
A. Zain,25,Saudi Arabia,66,Al Ahli,€700K,LM
D. Drocco,28,Argentina,66,Arsenal de Sarandí,€650K,CDM
S. Schiek,27,Germany,66,SG Sonnenhof Großaspach,€525K,LW
N. Quaschner,23,Germany,66,DSC Arminia Bielefeld,€850K,ST
A. Sušac,28,Croatia,66,VfL Osnabrück,€525K,CB
M. Perlak,31,Austria,66,SV Mattersburg,€575K,CAM
B. Clarke,29,Republic of Ireland,66,Charlton Athletic,€650K,CAM
D. Schahin,27,Germany,66,Roda JC Kerkrade,€675K,ST
J. Stans,27,Netherlands,66,NAC Breda,€675K,CM
M. Rømer,25,Denmark,66,SønderjyskE,€800K,CDM
Ever Rodeiro,33,Brazil,66,Atlético Clube Goianiense,€400K,CM
M. Axente,30,Romania,66,Al Faisaly,€625K,ST
C. Schuler,29,United States,66,Real Salt Lake,€500K,CB
D. Offenbacher,25,Austria,66,Wolfsberger AC,€700K,CAM
M. Kuhn,25,Germany,66,SV Wehen Wiesbaden,€775K,RB
Y. Arrechea,36,Colombia,66,Corporación Club Deportivo Tuluá,€90K,CB
S. Nagüel,24,Argentina,66,Racing Club de Avellaneda,€850K,RM
C. Mafla,24,Colombia,66,Atletico Nacional Medellin,€700K,LB
D. Bowditch,31,England,66,Northampton Town,€575K,LM
C. Nelson,24,England,66,Oxford United,€775K,CB
L. Di Lorenzo,36,Argentina,66,Temperley,€200K,CM
B. Zolinski,25,Germany,66,SC Paderborn 07,€800K,RB
Y. Mejía,26,Colombia,66,Atlético Bucaramanga,€700K,CM
S. Brown,32,England,66,Wycombe Wanderers,€375K,GK
Kwak Hae Seong,25,Korea Republic,66,Incheon United FC,€700K,LB
M. Caranta,38,Argentina,66,Talleres de Cordoba,€40K,GK
Raphael Doninho,29,Brazil,66,Clube Atlético Mineiro,€625K,CAM
M. Farrona Pulido,24,Germany,66,SC Fortuna Köln,€825K,RM
S. Schäfer,23,Germany,66,1. FC Magdeburg,€725K,CB
T. Murg,22,Austria,66,SK Rapid Wien,€900K,RM
F. Brustad,28,Norway,66,Molde FK,€675K,RM
B. Paulsen,25,Denmark,66,Hammarby IF,€675K,CAM
K. Mayi,24,France,66,Stade Brestois 29,€850K,ST
M. Starke,26,Namibia,66,FC Carl Zeiss Jena,€750K,ST
E. O'Connell,21,Republic of Ireland,66,Bury,€875K,RB
M. Engels,23,Germany,66,Roda JC Kerkrade,€875K,LM
S. Floranus,18,Netherlands,66,Sparta Rotterdam,€1.2M,RB
R. Brosco,26,Italy,66,Carpi,€650K,CB
V. Ustinov,26,Russia,66,FC Rostov,€650K,LWB
C. Aneke,23,England,66,Milton Keynes Dons,€875K,CDM
Ángel,24,Spain,66,Real Valladolid,€750K,LWB
T. Morimoto,29,Japan,66,Kawasaki Frontale,€650K,CAM
D. Toth,30,Austria,66,FC Admira Wacker Mödling,€475K,CM
Hong Jung Nam,29,Korea Republic,66,Jeonbuk Hyundai Motors,€425K,GK
G. Valverde,27,Bolivia,66,,€0,CB
A. Geipl,25,Germany,66, SSV Jahn Regensburg,€675K,CM
L. Barrera,26,Argentina,66,San Jose Earthquakes,€750K,LM
Y. Gómez Andrade,25,Colombia,66,Unión de Santa Fe,€675K,CB
G. Bolger,28,Republic of Ireland,66,Cork City,€525K,CM
L. Nicholls,24,England,66,Milton Keynes Dons,€650K,GK
R. Teibert,24,Canada,66,Vancouver Whitecaps FC,€675K,CM
Carlos Martínez,28,Spain,66,Lorca Deportiva CF,€650K,RM
W. Marinus,22,Netherlands,66,PEC Zwolle,€875K,CAM
M. Figueroa,27,Argentina,66,Temperley,€750K,ST
L. Guldan,34,Slovakia,66,Zagłębie Lubin,€200K,CB
Adán Gurdiel,23,Spain,66,Lorca Deportiva CF,€850K,RB
R. Lašík,24,Slovakia,66,Avellino,€825K,RB
I. Bella,27,Argentina,66,Arsenal de Sarandí,€675K,LB
F. Beijmo,19,Sweden,66,Djurgårdens IF,€975K,RB
D. Furman,29,South Africa,66,,€0,CDM
T. Børven,25,Norway,66,SK Brann,€850K,ST
S. Vega,19,Colombia,66,CD Los Millionarios Bogota,€1.2M,LB
O. Fisdono,25,Chile,66,Curicó Unido,€725K,CF
S. Özcan,18,Germany,66,1. FC Köln,€1.3M,CAM
D. Limnios,19,Greece,66,PAOK Thessaloniki,€1.1M,LM
A. Browne,22,Republic of Ireland,66,Preston North End,€900K,CDM
E. Lieftink,23,Netherlands,66,Willem II,€775K,CM
R. Lacazette,23,France,66,SV Darmstadt 98,€825K,CM
R. Improta,23,Italy,66,Bari,€950K,CF
L. León,24,Ecuador,66,,€0,CB
Oriol Busquets,18,Spain,66,FC Barcelona B,€1.2M,CM
D. Arreola,31,Mexico,66,Club Atlas,€425K,CB
A. Tarbell,23,United States,66,San Jose Earthquakes,€650K,GK
L. Ngwat Mahop,29,Cameroon,66,SCR Altach,€625K,ST
J. Attinella,28,United States,66,Portland Timbers,€550K,GK
M. Taş,26,Turkey,66,Gençlerbirliği SK,€700K,CM
J. Yaro,23,Ghana,66,Philadelphia Union,€850K,CB
J. Barraza,26,Mexico,66,Club Atlas,€775K,ST
O. Arce,27,Mexico,66,Necaxa,€750K,ST
F. Noor,22,Netherlands,66,AFC Eskilstuna,€875K,CDM
M. Wasiluk,30,Poland,66,Jagiellonia Białystok,€475K,LB
T. Verhaar,29,Netherlands,66,Sparta Rotterdam,€625K,RW
L. Butrón,40,Peru,66,,€0,GK
C. Gazale,25,Chile,66,Santiago Wanderers,€725K,ST
H. Kawano,27,Japan,66,Sagan Tosu,€675K,CAM
F. Müller,30,Germany,66,SG Dynamo Dresden,€475K,RB
S. Brisley,27,England,66,Notts County,€600K,CB
M. Lund,26,Northern Ireland,66,Burton Albion,€700K,CM
T. Lee,31,Japan,66,Urawa Red Diamonds,€575K,ST
D. Boldor,22,Romania,66,Montreal Impact,€750K,CB
A. Maisonnial,19,France,66,AS Saint-Étienne,€975K,GK
C. Oliveira Souza,21,Brazil,66,MSV Duisburg,€900K,LM
A. Piech,32,Poland,66,Śląsk Wrocław,€525K,ST
J. Reeves,24,England,66,Bradford City,€900K,CM
N. Brock-Madsen,24,Denmark,66,Birmingham City,€850K,ST
E. Barrega,29,Chile,66,Curicó Unido,€650K,LW
G. Ramírez,22,Argentina,66,Talleres de Cordoba,€900K,RM
P. Cuadra,22,Argentina,66,Racing Club de Avellaneda,€1M,LM
L. Martin,30,England,66,Gillingham,€600K,CAM
E. Fryers,24,England,66,Barnsley,€675K,LB
L. Menossi,23,Argentina,66,Club Atlético Tigre,€825K,RM
S. Church,28,Wales,66,,€0,ST
J. Jacobson,30,Wales,66,Wycombe Wanderers,€475K,LB
O. Cissé,26,Mali,66,Milton Keynes Dons,€650K,CM
D. Mohamed,28,France,66,Royal Excel Mouscron,€525K,LB
J. Riley,20,England,66,Manchester United,€1M,LB
A. Matějů,21,Czech Republic,66,Brighton & Hove Albion,€850K,LB
K. Pezzoni,28,Germany,66,SV Wehen Wiesbaden,€575K,CB
J. Moreno,20,Colombia,66,CD Once Caldas Manizales,€975K,CB
A. Engin,20,Germany,66,MSV Duisburg,€1.2M,ST
N. Dovedan,22,Austria,66,1. FC Heidenheim,€900K,CAM
A. Monfray,26,France,66,US Orléans Loiret Football,€700K,CDM
F. Kalig,24,Germany,66,FC Erzgebirge Aue,€750K,RB
M. Maouche,24,France,66,Oldham Athletic,€875K,CDM
K. Higashi,26,Japan,66,F.C. Tokyo,€700K,RM
D. Boo Wiklander,32,Sweden,66,IFK Göteborg,€375K,CB
M. Smith,28,Northern Ireland,66,Heart of Midlothian,€500K,RWB
M. Helik,21,Poland,66,Cracovia,€750K,CB
E. Torregrossa,25,Italy,66,Brescia,€825K,ST
C. Cadden,20,Scotland,66,Motherwell,€950K,CM
Yin Hongbo,27,China PR,66,,€0,LM
J. Föhrenbach,21,Germany,66,Karlsruher SC,€775K,CB
A. Hainault,31,Canada,66,1. FC Magdeburg,€425K,LB
C. Washington,25,Northern Ireland,66,Queens Park Rangers,€825K,ST
Clavería,21,Spain,66,Málaga CF,€825K,CM
B. Pittón,24,Argentina,66,Unión de Santa Fe,€750K,LM
J. Posavec,21,Croatia,66,Palermo,€925K,GK
T. Cywka,29,Poland,66,Wisła Kraków,€475K,RB
L. Thomas,25,Australia,66,Melbourne Victory,€600K,GK
R. Sufyani,30,Saudi Arabia,66,Al Ittihad,€600K,RM
V. Khozin,27,Russia,66,FC Ural,€525K,LB
A. Sadiku,26,Albania,66,Legia Warszawa,€825K,ST
J. Eggestein,19,Germany,66,SV Werder Bremen,€1.4M,ST
M. Viniegra,29,Mexico,66,Tiburones Rojos de Veracruz,€500K,CM
P. Bouby,33,France,66,US Orléans Loiret Football,€260K,CDM
T. Trybull,24,Germany,66,Norwich City,€850K,CDM
J. Grot,19,Netherlands,66,Leeds United,€1.1M,RW
M. Prévot,20,France,66,FC Sochaux-Montbéliard,€925K,GK
Calero,21,Spain,66,Real Valladolid,€875K,CB
D. Peitz,32,Germany,66,Holstein Kiel,€375K,CDM
V. Jovanović,32,Bosnia Herzegovina,66,Termalica Bruk-Bet Nieciecza,€375K,CM
D. Erdmann,26,Germany,66,1. FC Magdeburg,€625K,CB
D. Whitehead,35,England,66,Huddersfield Town,€150K,CM
S. Gorga,23,Uruguay,66,Chacarita Juniors,€825K,CB
L. Štetina,25,Slovakia,66,Sparta Praha,€700K,CB
J. Karacan,28,Turkey,66,Bolton Wanderers,€650K,CDM
B. Zemanski,29,United States,66,Portland Timbers,€500K,CM
K. Kerschbaumer,25,Austria,66,DSC Arminia Bielefeld,€850K,LM
E. Montagna,23,Argentina,66,Temperley,€900K,LM
Marcelinho,33,Bulgaria,66,,€0,CM
C. Myers,29,United States,66,Portland Timbers,€475K,RB
T. Coremans,26,Netherlands,66,ADO Den Haag,€550K,GK
Daniel Amora,29,Brazil,66,Al Raed,€625K,CDM
L. Thürauer,29,Austria,66,SKN St. Pölten,€625K,ST
A. Favilli,20,Italy,66,Ascoli,€1.1M,ST
Park Tae Hong,26,Korea Republic,66,Daegu FC,€650K,CB
K. Yonekura,29,Japan,66,Gamba Osaka,€475K,RB
B. Pringle,28,England,66,Preston North End,€650K,LM
D. Boysen,26,Denmark,66,Lyngby BK,€750K,LM
E. Hestad,22,Norway,66,Molde FK,€900K,CM
A. Jeremejeff,23,Sweden,66,Malmö FF,€900K,ST
S. Smith,31,Scotland,66,Kilmarnock,€425K,CDM
J. Thomassen,29,Norway,66,Sarpsborg 08 FF,€475K,LB
K. Ramsteijn,27,Netherlands,66,Aalesunds FK,€650K,CB
T. Ambrose,20,France,66,NAC Breda,€1.1M,RM
T. Skarke,20,Germany,66,1. FC Heidenheim,€925K,RM
Luis Marleiro,25,Brazil,66,Vitória ,€725K,ST
J. Mattock,27,England,66,Rotherham United,€600K,LB
D. Kiki,23,Benin,66,Stade Brestois 29,€750K,LB
J. Gressel,23,Germany,66,Atlanta United FC,€950K,CAM
Q. Boisgard,20,France,66,Toulouse FC,€1.4M,ST
Brais Méndez,20,Spain,66,RC Celta de Vigo,€1.2M,CAM
B. Shea,27,United States,66,Vancouver Whitecaps FC,€675K,LM
N. Hasler,26,Liechtenstein,66,Toronto FC,€650K,CM
Tià Sastre,23,Spain,66,RC Celta de Vigo,€950K,LM
M. Van Heerden,29,South Africa,66,Orlando Pirates,€475K,LWB
A. Oshilaja,24,England,66,AFC Wimbledon,€775K,RB
S. Yamamoto,32,Japan,66,Kashima Antlers,€350K,LB
P. Coutts,28,Scotland,66,Sheffield United,€650K,RM
A. Long,24,United States,66,New York Red Bulls,€775K,CB
J. Biada,24,Germany,66,Eintracht Braunschweig,€875K,CF
E. Franquez,25,Chile,66,Curicó Unido,€550K,LB
Lim Jong Eun,27,Korea Republic,66,Jeonbuk Hyundai Motors,€600K,CB
N. Ben Khalifa,25,Switzerland,66,FC St. Gallen,€825K,CAM
K. Broadfoot,32,Scotland,66,Kilmarnock,€375K,RB
M. Marshall,30,Jamaica,66,Charlton Athletic,€600K,LM
N. Mohammed,23,Ghana,66,BK Häcken,€950K,RW
D. López,25,Colombia,66,Jaguares Fútbol Club,€875K,ST
J. Walsh,25,Wales,66,Milton Keynes Dons,€775K,CB
U. Antuna,19,Mexico,66,FC Groningen,€1.2M,LM
R. Matisano,29,Chile,66,Club de Deportes Temuco,€475K,RB
Kim Sung Hwan,30,Korea Republic,66,Ulsan Hyundai Horang-i,€475K,CM
Onwu,29,Spain,66,Lorca Deportiva CF,€650K,CF
M. Rutten,24,Netherlands,66,VVV-Venlo,€700K,CDM
Y. Al Nakhli,26,Saudi Arabia,66,Al Ittihad,€625K,CB
D. Bejarano,25,Bolivia,66,,€0,CDM
Leo Pereira,21,Brazil,66,Orlando City Soccer Club,€725K,CB
V. Dávila,19,Chile,66,Necaxa,€875K,CAM
R. Edwards,21,Canada,66,Toronto FC,€1.2M,LB
Moreto Cassamá,19,Portugal,66,FC Porto,€1.4M,CAM
Mario Ortíz,28,Spain,66,C.D. Leonesa S.A.D.,€575K,CM
Álvaro Tejero,20,Spain,66,Real Madrid CF,€1M,RB
A. Papazoglou,29,Greece,66,Aalesunds FK,€650K,ST
O. Halvorsen,29,Norway,66,Sarpsborg 08 FF,€625K,RM
A. Bunjaku,33,Kosovo,66,FC Erzgebirge Aue,€400K,LM
L. Gonzaloz,29,Chile,66,Club de Deportes Temuco,€475K,RB
K. Keane,30,Republic of Ireland,66,Rochdale,€475K,CDM
P. Kurzweg,23,Germany,66,1. FC Union Berlin,€700K,LM
T. Sana,27,Sweden,66,Aarhus GF,€675K,ST
Abner,21,Brazil,66,Estoril Praia,€1M,LB
E. Tellechea,30,Uruguay,66,Bahía Blanca,€600K,CM
H. Sendiero,29,Chile,66,Santiago Wanderers,€475K,LB
K. Staude,20,Germany,66,DSC Arminia Bielefeld,€1M,CAM
A. Tahar,27,Algeria,66,Boavista FC,€550K,CM
A. Bourceanu,32,Romania,66,Arsenal Tula,€475K,CDM
M. Bouziane,26,France,66,Hansa Rostock,€700K,LW
M. Hairston,23,United States,66,Colorado Rapids,€825K,RB
R. Harakawa,23,Japan,66,Sagan Tosu,€850K,CM
A. Guðmundsson,20,Iceland,66,PSV,€1M,LW
G. Waldschmidt,21,Germany,66,Hamburger SV,€1.1M,CF
A. Sedlar,25,Serbia,66,Piast Gliwice,€675K,CB
Jeong Hyuk,31,Korea Republic,66,Jeonbuk Hyundai Motors,€550K,CDM
Antonio Martínez,27,Spain,66,C.D. Leonesa S.A.D.,€625K,CAM
O. Benítez,26,Argentina,66,Gimnasia y Esgrima La Plata,€700K,CB
C. Dean,24,United States,66,Chicago Fire Soccer Club,€700K,LB
T. Hamed,28,Egypt,66,,€0,CDM
D. Fox,31,Scotland,66,Nottingham Forest,€425K,LB
J. Mæhle,20,Denmark,66,KRC Genk,€850K,RB
K. Tokura,31,Japan,66,Hokkaido Consadole Sapporo,€575K,ST
S. Alami,24,Morocco,66,Paris FC,€850K,LM
P. Hanlon,27,Scotland,66,Hibernian,€625K,CB
H. Dahmani,29,Germany,66,SC Fortuna Köln,€650K,LM
T. Umesaki,30,Japan,66,Urawa Red Diamonds,€600K,RM
F. Knudsen,20,Norway,66,FK Haugesund,€1M,CB
N. Thompson,26,England,66,Portsmouth,€625K,RB
I. Salah,30,Egypt,66,,€0,CM
J. Zuluaga,24,Colombia,66,Jaguares Fútbol Club,€750K,RB
A. Boljević,21,Montenegro,66,Waasland-Beveren,€950K,LM
S. Moore,20,United States,66,Levante UD,€900K,CB
J. Elliott,21,England,66,Philadelphia Union,€750K,CB
M. Ranégie,33,Sweden,66,BK Häcken,€400K,ST
C. Klem,26,Austria,66,Wolfsberger AC,€650K,LM
A. Martin,27,England,66,Oxford United,€600K,CB
D. Miloc,26,Argentina,66,Atlético Tucumán,€700K,CM
J. Nadeau,22,France,66,Hansa Rostock,€825K,RB
J. Cano,34,Colombia,66,La Equidad,€180K,RB
N. Adams,30,Wales,66,Carlisle United,€600K,CAM
A. Sigurðarson,23,Iceland,66,Tromsø IL,€900K,LW
L. Van Eenoo,26,Belgium,66,KV Kortrijk,€775K,CAM
M. Donati,36,Italy,66,Hamilton Academical FC,€90K,CB
R. Kazior,34,Germany,66,Werder Bremen II,€350K,CAM
A. Cherevko,29,Russia,66,FC SKA-Energiya Khabarovsk,€475K,RM
L. Carteldo,29,Chile,66,Audax Italiano,€475K,CB
L. James,29,Wales,66,Exeter City,€625K,CDM
Ricardo Santos,30,Brazil,66,Cerezo Osaka,€625K,ST
J. Placide,29,Haiti,66,Oldham Athletic,€425K,GK
Y. Thuram,28,France,66,Le Havre AC,€550K,GK
C. Edwards,23,England,66,Östersunds FK,€875K,RB
J. Willis,22,England,66,Coventry City,€850K,RB
A. Bell,23,England,66,Fleetwood Town,€850K,LB
C. Lema,26,Argentina,66,Belgrano de Córdoba,€675K,CB
D. Crowley,19,England,66,Willem II,€975K,CM
Y. Mutō,28,Japan,66,Urawa Red Diamonds,€675K,CF
O. Vera,31,Mexico,66,Tiburones Rojos de Veracruz,€575K,LB
L. Hufnagel,23,Georgia,66,1. FC Nürnberg,€875K,LM
M. Zappino,36,Brazil,66,Frosinone,€90K,GK
R. Lentini,28,Argentina,66,Bahía Blanca,€675K,ST
N. Lomb,23,Germany,66,Bayer 04 Leverkusen,€625K,GK
J. McLaughlin,28,Scotland,66,Heart of Midlothian,€525K,GK
S. Ernemann,35,Denmark,66,Viking FK,€270K,CDM
M. Lundemo,23,Norway,66,Rosenborg BK,€925K,CM
B. Konaté,21,France,66,AJ Auxerre,€900K,CDM
C. McCann,29,Republic of Ireland,66,Atlanta United FC,€625K,LB
F. Neuhaus,20,Germany,66,Fortuna Düsseldorf,€1.2M,CM
R. Norodien,22,South Africa,66,Orlando Pirates,€875K,LW
A. Crognale,22,United States,66,Columbus Crew SC,€825K,CB
O. Bozanic,28,Australia,66,Ventforet Kofu,€650K,CDM
A. Blanco,29,Mexico,66,Pachuca,€425K,GK
Kwak Kwang Sun,31,Korea Republic,66,Suwon Samsung Bluewings,€425K,LB
M. Pfitzner,32,Germany,66,Werder Bremen II,€375K,CB
